"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Aetna Medicare","H1608","Local CCP","Local PPO","07/01/2005","For Profit","CVS Health Corporation","Philadelphia","148,828","1285 Fern Ridge Parkway, Suite 200","","St. Louis","MO","63141","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","H1206","Local CCP","HMO/HMOPOS","01/01/2024","For Profit","CVS Health Corporation","Philadelphia","660","3200 Highland Avenue","","Downers Grove","IL","60515","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2023"
"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","H7301","Local CCP","Local PPO","01/01/2008","For Profit","CVS Health Corporation","Philadelphia","101,880","3200 Highland Avenue","","Downers Grove","IL","60515","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF KANSAS, INC.","Aetna Medicare","H5325","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Philadelphia","37,946","9401 Indian Creek Parkway","Suite 1300","Overland Park","KS","66210","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF MISSOURI, INC.","Aetna Medicare","H2663","Local CCP","HMO/HMOPOS","11/01/1995","For Profit","CVS Health Corporation","Philadelphia","118,373","1285 Fernridge Parkway, Suite 200","","St. Louis","MO","63141","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COVENTRY HEALTH CARE OF NEBRASKA, INC.","Aetna Medicare","H4711","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","20,182","11819 Miami Street, Suite 101","","Omaha","NE","68164","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"COVENTRY HEALTH CARE OF VIRGINIA, INC.","Aetna Better Health of Virginia","H1610","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","CVS Health Corporation","Philadelphia","18,668","9881 Mayland Drive","","Richmond","VA","23233","Director of Provider Expe","Koblens","Matt","","1-855-463-0933","","","koblensm@aetna.com","7400 West Campus Road","","New Albany","OH","43054","10/13/2023"
"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.","Aetna Medicare","H1692","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CVS Health Corporation","Philadelphia","25,965","500 Virginia Street East","Suite 400","Charleston","WV","25301","","Customer Service","Aetna","","1-833-570-6670","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/04/2024"
"COX HEALTH SYSTEMS HMO INC","Cox HealthPlans","H2942","Local CCP","HMO/HMOPOS","01/01/2023","Not-for-Profit/Non-Profit","CoxHealth","Kansas City","3,673","3200 S National Ave","3B","Springfield","MO","65807","Director of Member and Pr","Hopkins","Sandy","","1-417-269-2920","","","shopkins@coxhealthplans.com","PO Box 5750","","Springfield","MO","65801","01/20/2023"
"California Physicians' Service","Blue Shield of California","H5928","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","California Physicians' Service","San Francisco","11,457","6300 CANOGA AVENUE","","WOODLAND HILLS","CA","91367","","Services","Member","","1-800-776-4466","","","membersvcs@blueshieldca.com","6300 Canoga Avenue","","Woodland Hills","CA","91367","01/11/2021"
"Center for Gerontology","Ascension Living PACE Michigan","H8769","National PACE","National PACE","08/01/2015","Not-for-Profit/Non-Profit","Ascension Health Alliance","Chicago","239","412 E. First Street","","Flint","MI","48502","Executive Director","Berry","Craig","","1-810-236-7500","","1-810-236-7558","craig.berry@ascension.org","412 E First Street","","Flint","MI","48502","04/01/2021"
"Commonwealth Care Alliance Massachusetts, LLC.","Commonwealth Care Alliance Massachusetts","H9414","Local CCP","Local PPO","01/01/2022","For Profit","Commonwealth Care Alliance, Inc.","Boston","5,748","30 Winter Street","","Boston","MA","02108","","Services","Member","","1-866-420-9332","","","memberservices@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","06/03/2024"
"Commonwealth Care Alliance Rhode Island, LLC","CCA Health Rhode Island","H9876","Local CCP","Local PPO","01/01/2022","For Profit","Commonwealth Care Alliance, Inc.","Boston","777","30 Winter Street","","Boston","MA","02108","","Services","Member","","1-833-420-9332","","","memberservices@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","06/03/2024"
"Commonwealth Care Alliance Rhode Island, LLC","CCA Health Rhode Island","H0876","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Commonwealth Care Alliance, Inc.","Boston","503","30 Winter Street","","Boston","MA","02108","","Services","Member","","1-866-420-9332","","","memberservices@commonwealthcare.org","30 Winter Street","","Boston","MA","02108","06/03/2024"
"CommunityCare Life & Health Insurance Co.","CommunityCare Options (PPO)","H4277","Local CCP","Local PPO","01/01/2023","For Profit","CommunityCare Managed Healthcare Plans of OK, Inc.","Dallas","40","Williams Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","Manager Customer Service","Prince","LeAnn","","1-918-594-5295","6908","","lprince@ccok.com","Williams Center Tower II","Two West Second Street, Suite 100","Tulsa","OK","74103","06/05/2024"
"DEAN HEALTH PLAN, INC.","Dean Advantage","H9096","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","Medica Holding Company","Kansas City","10,481","1277 Deming Way","","Madison","WI","53717","Customer Service","Service","Customer","","1-877-232-7566","","","DHP.CustomerRelationsResolutionTeam@medica.com","1277 Deming Way","","Madison","WI","53717","02/01/2023"
"DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.","H5264","1876 Cost","1876 Cost","01/01/1999","For Profit","Medica Holding Company","Kansas City","12,335","1277 DEMING WAY","","MADISON","WI","53717","Customer Service","Service","Customer","","1-888-422-3326","","","DHP.CustomerRelationsResolutionTeam@medica.com","1277 Deming Way","","Madison","WI","53717","02/01/2023"
"DENVER HEALTH MEDICAL PLAN, INC.","Elevate Medicare Advantage","H5608","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","Denver Health and Hospital Authority","Dallas","5,017","777 Bannock Street","Mail Code 6000","Denver","CO","80204","","Services","HealthPlan","","1-303-602-2111","","1-303-602-2099","dhmpinfo@dhha.org","777 Bannock Street","Mail Code 6000","Denver","CO","80204","10/29/2019"
"DEVOTED HEALTH  PLAN OF OREGON","Devoted Health","H7199","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","3,451","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY","Devoted Health","H9884","Local CCP","Local PPO","01/01/2022","For Profit","Devoted Health, Inc.","New York","4,274","221 Crescent Street","Suite 202 - Devoted Health","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF ALABAMA INC","Devoted Health","H9888","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,009","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC.","Devoted Health","H6586","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,481","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF COLORADO INC","Devoted Health","H4808","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","4,485","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF HAWAII INC","Devoted Health","H2686","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","6,815","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF PENNSYLVANIA INC","Devoted Health","H6018","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,060","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA INC","Devoted Health","H7028","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","3,974","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF TENNESSEE INC","Devoted Health","H9231","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","1,416","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH INSURANCE COMPANY OF TEXAS INC","Devoted Health","H6813","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","1,821","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF ALABAMA INC","Devoted Health","H3080","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","8,355","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF ARIZONA, INC.","Devoted Health","H8173","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Devoted Health, Inc.","New York","18,335","221 Crescent Street","Suite 202 - Devoted Health","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF COLORADO INC","Devoted Health","H7147","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","6,149","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF FLORIDA, INC.","Devoted Health","H1290","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Devoted Health, Inc.","New York","49,532","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","08/25/2020"
"DEVOTED HEALTH PLAN OF ILLINOIS, INC.","Devoted Health","H7151","Local CCP","HMO/HMOPOS","01/01/2022","For Profit","Devoted Health, Inc.","New York","8,790","221 Crescent Street","Suite 202 - Devoted Health","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF NORTH CAROLINA INC","Devoted Health","H5299","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,411","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF OHIO INC","Devoted Health","H2526","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,901","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF OHIO, INC.","Devoted Health","H2697","Local CCP","HMO/HMOPOS","01/01/2021","For Profit","Devoted Health, Inc.","New York","46,819","221 Crescent Street","Suite 202 - Devoted Health","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF OREGON INC","Devoted Health","H2923","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","1,105","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF PENNSYLVANIA INC","Devoted Health","H6852","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","1,044","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF SOUTH CAROLINA INC","Devoted Health","H3041","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","503","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF TENNESSEE INC","Devoted Health","H7605","Local CCP","HMO/HMOPOS","01/01/2023","For Profit","Devoted Health, Inc.","New York","4,009","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DEVOTED HEALTH PLAN OF TEXAS, INC.","Devoted Health","H7993","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Devoted Health, Inc.","New York","45,499","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"DIGNITY CARE CORPORATION","American Health Advantage of Louisiana","H8492","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Mitchell Family Office","Dallas","488","950 West Causeway Approach","","Mandeville","LA","70471","Sr Director, Health Plan","Brimm","Angie","","1-866-266-6010","","","abrimm@AmHealthPlans.com","201 Jordan Road","Suite 200","Franklin","TN","37067","02/14/2024"
"DOCTORS HEALTHCARE PLANS, INC.","Doctors HealthCare Plans, Inc.","H4140","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","DOCTORS HEALTHCARE PLANS, INC.","Atlanta","12,219","2020 Ponce De Leon Blvd","PH 1","Coral Gables","FL","33134","VP Network Development","Duran","Maria","","1-786-578-0940","","","m.dur.5@doctorshcp.com","2020 Ponce De Leon Blvd","PH 1","Coral Gables","FL","33134","06/30/2020"
"Devoted Health Insurance of Illinois, Inc.","Devoted Health","H6545","Local CCP","Local PPO","01/01/2023","For Profit","Devoted Health, Inc.","New York","2,932","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","12/06/2023"
"EL PASO FIRST HEALTH PLANS, INC.","El Paso Health Medicare Advantage","H3407","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","El Paso County Hospital District","Dallas","396","1145 Westmoreland","","El Paso","TX","79925","","Garcia","Viridiana","","1-915-298-7198","1079","","vrodriguez@elpasohealth.com","1145 Westmoreland","","El Paso","TX","79925","04/08/2021"
"ELDERHAUS INC.","Elderhaus PACE","H3942","National PACE","National PACE","02/01/2008","Not-for-Profit/Non-Profit","EveryAge","Atlanta","111","1380 North College Road","","Wilmington","NC","28405","Business Analyst","Chastain","Kelly","","1-910-343-8209","8000930","1-910-343-8836","kchastain@EveryAge.org","1380 North College Road","","Wilmington","NC","28405","01/17/2023"
